"","canton_code","canton","district_code","district","commune_code","commune","pop_foreign","res_landprice","soc_assistance","tax_pc","work_unemployed","work_density","work_ent_kmu2","reach_edu_secondary","ecec_coverage_priv","reach_library","transport_modal_pt"
"1",1,"ZH",101,"Affoltern",1,"Aeugst am Albis",-0.715317642978349,-0.078602004143369,-0.837562930684679,0.582904905988583,-0.361960449061419,-0.734264077042649,-1.32568447644476,-1.55102722544039,0.323543068282474,0.24488909404685,0.384459031021297
"2",1,"ZH",101,"Affoltern",2,"Affoltern am Albis",1.07559082033238,0.16078717972447,1.02805991348721,-0.399772999478477,1.43725612772868,0.649323529609567,0.61140381430757,-1.24507900792634,1.01360419023908,1.25581038233303,0.656434415411909
"3",1,"ZH",101,"Affoltern",3,"Bonstetten",-0.482983572062362,0.575218454803943,-0.664820074742838,-0.399468387604495,-0.428598100053645,-0.871201906491201,-0.455324204535871,0.633086660225917,0.787766004871467,-0.421769727486471,1.47236056858374
"4",1,"ZH",101,"Affoltern",4,"Hausen am Albis",-0.524126063787068,0.0446924251419466,-0.71664293152539,-0.399468387604495,-0.761786355014775,-0.415388144333654,-0.435528579750343,-0.893382753768707,0.00808655538802345,-1.16868037542367,-0.295479429955233
"5",1,"ZH",101,"Affoltern",5,"Hedingen",-0.468462692630113,0.28453158867871,-0.30206007726497,-0.399468387604495,-0.661829878526436,0.208005633837178,-0.281123707213153,-0.522125699926169,0.133552213925589,0.599624861076368,1.6763421068767
"6",1,"ZH",101,"Affoltern",6,"Kappel am Albis",-0.265170380578625,-0.294142265558209,-0.941208644249784,-0.399163775730513,-1.36152521394481,-0.441516261560287,-1.20268030443878,-0.076288336913342,-1.05478680908021,-0.848237167239006,-1.24739327532237
"7",1,"ZH",101,"Affoltern",7,"Knonau",-0.197406276561461,-0.00210546042620247,-1.02758007222071,-0.399772999478477,-0.861742831503114,-0.580697597837887,-0.0964520080099675,0.0809597200226218,0.241990390233056,-0.534360966139398,-0.0235040455646208
"8",1,"ZH",101,"Affoltern",8,"Maschwanden",-0.928290541318004,-0.924563781721446,-1.20032292816255,-0.399772999478477,-0.59519222753421,-0.674983082532198,-1.27584055647688,0.0209132581226361,-1.05478680908021,-0.367287045567799,-1.51936865971299
"9",1,"ZH",101,"Affoltern",9,"Mettmenstetten",-0.553167822651566,0.334929311598255,-0.50935150439518,-0.399772999478477,-0.92838048249534,-0.197585807054299,0.245227826210114,-0.831380211900231,0.615698816019949,0.338809685942561,-0.431467122150539
"10",1,"ZH",101,"Affoltern",10,"Obfelden",0.15351497638456,-0.107400702954537,0.561654202444238,-0.399772999478477,-0.561873402038097,-0.637079263002073,0.107737438315354,-1.29302200864077,-0.205205064125838,0.712630205935751,-0.70344250654115
"11",1,"ZH",101,"Affoltern",11,"Ottenbach",-0.848425704440633,-0.353089602187319,-0.785740073902127,-0.399772999478477,-1.19493108646424,-0.523797782194733,0.126099564490629,-1.94435163099825,-0.133510402104372,0.343827870601897,-0.499460968248192
"12",1,"ZH",101,"Affoltern",12,"Rifferswil",-1.16304475880603,-0.37513860596462,-0.958482929843968,-0.40007761135246,-0.678489291274492,-0.673762246893443,-1.15577158616467,-0.763232463051101,-1.05478680908021,-0.300527908001044,-0.567454814345844
"13",1,"ZH",101,"Affoltern",13,"Stallikon",0.226119373545806,-0.865616445092335,-0.803014359496311,-0.322096971612978,-0.461916925549758,-0.651205283692999,-0.276116143067274,0.284700162616733,0.908750747032691,-0.583078767955599,2.01631133736497
"14",1,"ZH",101,"Affoltern",14,"Wettswil am Albis",-0.405538881757033,1.13364322393926,-0.50935150439518,0.787604085304721,-0.395279274557532,-0.535404424388139,-0.385810269485742,1.26174306539111,-0.38085698607843,-0.62854567301718,0.520446723216603
"15",1,"ZH",102,"Andelfingen",21,"Adlikon",-1.16304475880603,-1.0780068488247,-1.11395150019163,-0.399163775730513,-0.678489291274492,-0.702016348048099,-1.34469832322042,-0.844511913352414,1.08798740208636,-1.16817823088986,-1.65535635190829
"16",1,"ZH",102,"Andelfingen",22,"Benken (ZH)",-0.775821307279387,-0.942112988809502,-0.682094360337022,-0.399468387604495,-0.650723603361065,-0.346079186604916,-0.406847355114201,-0.316273383383776,-1.05478680908021,-0.361134144689199,-1.04341173702942
"17",1,"ZH",102,"Andelfingen",23,"Berg am Irchel",-1.17030519852216,-0.992960691397971,-1.28669435613347,1.37520039021667,NA,-0.664786712976902,-1.41276509165318,-2.02415969371265,-1.05478680908021,-2.32548117214,-0.839430198736456
"18",1,"ZH",102,"Andelfingen",24,"Buch am Irchel",-1.37359751057365,-0.594278704730856,-1.45943721207531,-0.399163775730513,-1.5947569924176,-0.79033387914864,-0.993142003107131,-1.39082254497684,-1.05478680908021,-1.71645810891624,-1.04341173702942
"19",1,"ZH",102,"Andelfingen",25,"Dachsen",-0.654813978677311,-0.873266099464052,-0.803014359496311,-0.399772999478477,-1.16161226096813,-0.769833473561829,-0.498261324774537,0.410051998756769,-1.05478680908021,-0.0243712391556241,1.47236056858374
"20",1,"ZH",102,"Andelfingen",26,"Dorf",-1.23564915596728,-0.794519657402263,-1.07940292900326,-0.399772999478477,-0.178706908832798,-0.694367707657928,-1.29984326383846,-1.11107195068679,-1.05478680908021,-1.4645934970637,-0.635448660443497
"21",1,"ZH",102,"Andelfingen",27,"Feuerthalen",0.487495203326292,-1.00106032543861,1.33899705418252,-0.399468387604495,0.304416060860841,-0.32674255142276,0.35634354411074,1.09297317812747,-0.102143987469981,1.18138864960744,-0.70344250654115
