"","canton_code","canton","district_code","district","commune_code","commune","type"
"90",1,"ZH",105,"Hinwil",120,"Wald (ZH)","Type 3"
"91",1,"ZH",105,"Hinwil",121,"Wetzikon (ZH)","Type 4"
"92",1,"ZH",106,"Horgen",131,"Adliswil","Type 4"
"93",1,"ZH",106,"Horgen",135,"Kilchberg (ZH)","Type 5"
"94",1,"ZH",106,"Horgen",136,"Langnau am Albis","Type 3"
"95",1,"ZH",106,"Horgen",137,"Oberrieden","Type 2"
"96",1,"ZH",106,"Horgen",138,"Richterswil","Type 4"
"97",1,"ZH",106,"Horgen",139,"Rüschlikon","Type 5"
"98",1,"ZH",106,"Horgen",141,"Thalwil","Type 4"
"99",1,"ZH",106,"Horgen",293,"Wädenswil","Type 4"
"100",1,"ZH",106,"Horgen",295,"Horgen","Type 4"
"101",1,"ZH",107,"Meilen",151,"Erlenbach (ZH)","Type 5"
"102",1,"ZH",107,"Meilen",152,"Herrliberg","Type 5"
"103",1,"ZH",107,"Meilen",153,"Hombrechtikon","Type 3"
"104",1,"ZH",107,"Meilen",154,"Küsnacht (ZH)","Type 5"
"105",1,"ZH",107,"Meilen",155,"Männedorf","Type 2"
"106",1,"ZH",107,"Meilen",156,"Meilen","Type 5"
"107",1,"ZH",107,"Meilen",157,"Oetwil am See","Type 4"
"108",1,"ZH",107,"Meilen",158,"Stäfa","Type 2"
"109",1,"ZH",107,"Meilen",159,"Uetikon am See","Type 2"
"110",1,"ZH",107,"Meilen",160,"Zumikon","Type 5"
"111",1,"ZH",107,"Meilen",161,"Zollikon","Type 5"
"112",1,"ZH",108,"Pfäffikon",172,"Fehraltorf","Type 2"
"113",1,"ZH",108,"Pfäffikon",173,"Hittnau","Type 1"
"114",1,"ZH",108,"Pfäffikon",176,"Lindau","Type 4"
"115",1,"ZH",108,"Pfäffikon",177,"Pfäffikon","Type 2"
"116",1,"ZH",108,"Pfäffikon",178,"Russikon","Type 1"
"117",1,"ZH",108,"Pfäffikon",180,"Weisslingen","Type 1"
"118",1,"ZH",108,"Pfäffikon",181,"Wila","Type 1"
"119",1,"ZH",108,"Pfäffikon",182,"Wildberg","Type 1"
"120",1,"ZH",108,"Pfäffikon",296,"Illnau-Effretikon","Type 4"
"121",1,"ZH",108,"Pfäffikon",297,"Bauma","Type 1"
"122",1,"ZH",109,"Uster",191,"Dübendorf","Type 4"
"123",1,"ZH",109,"Uster",192,"Egg","Type 2"
"124",1,"ZH",109,"Uster",193,"Fällanden","Type 4"
"125",1,"ZH",109,"Uster",194,"Greifensee","Type 4"
"126",1,"ZH",109,"Uster",195,"Maur","Type 1"
"127",1,"ZH",109,"Uster",196,"Mönchaltorf","Type 2"
"128",1,"ZH",109,"Uster",197,"Schwerzenbach",NA
"129",1,"ZH",109,"Uster",198,"Uster","Type 4"
"130",1,"ZH",109,"Uster",199,"Volketswil","Type 4"
"131",1,"ZH",109,"Uster",200,"Wangen-Brüttisellen","Type 4"
"132",1,"ZH",110,"Winterthur",211,"Altikon","Type 1"
"133",1,"ZH",110,"Winterthur",213,"Brütten","Type 1"
"134",1,"ZH",110,"Winterthur",214,"Dägerlen","Type 1"
"135",1,"ZH",110,"Winterthur",215,"Dättlikon","Type 1"
"136",1,"ZH",110,"Winterthur",216,"Dinhard","Type 1"
"137",1,"ZH",110,"Winterthur",218,"Ellikon an der Thur","Type 1"
"138",1,"ZH",110,"Winterthur",219,"Elsau","Type 2"
"139",1,"ZH",110,"Winterthur",220,"Hagenbuch","Type 1"
"140",1,"ZH",110,"Winterthur",221,"Hettlingen","Type 1"
"141",1,"ZH",110,"Winterthur",223,"Neftenbach","Type 1"
"142",1,"ZH",110,"Winterthur",224,"Pfungen","Type 4"
"143",1,"ZH",110,"Winterthur",225,"Rickenbach (ZH)","Type 1"
"144",1,"ZH",110,"Winterthur",226,"Schlatt (ZH)","Type 1"
